Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.15245,0.060912,-0.14077,0,0,0,0.78715,0.00062066,1.0251E-05,2.201E-05,0.0014766,-4.8827E-06,0.0017778,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/base_link.STL,,Base nueva-1/Jetson nano 4GB-2;Base nueva-1/Soporte Jetson-2;Base nueva-1/LOGO-1;Base nueva-1/Soporte LIDAR-2;Base nueva-1/pieza lateral izquierda-8;Base nueva-1/pieza lateral derecha-9;Base nueva-1/Base original-2;Base nueva-1/USB expansion board-3;Base nueva-1/Expansion board-3;Vehiculo_2_URDF-1/Base-1;Parachoque delantero-1;Vehiculo_2_URDF-1/Gearbox-2;Vehiculo_2_URDF-1/Eslabon superior LLantas-2;Vehiculo_2_URDF-1/Base conectora resorte-2;Vehiculo_2_URDF-1/Eslabon inferior LLantas-2;Vehiculo_2_URDF-1/Eslabon superior LLantas-1;Vehiculo_2_URDF-1/Eslabon inferior LLantas-1;Vehiculo_2_URDF-1/Eslabon inferior LLantas traseras-1;Vehiculo_2_URDF-1/Eslabon superior LLantas traseras-1;Vehiculo_2_URDF-1/Gearbox-1;Parachoque trasero-1;Vehiculo_2_URDF-1/Base conectora resorte-1;Vehiculo_2_URDF-1/Eslabon superior LLantas traseras-2;Vehiculo_2_URDF-1/Eslabon inferior LLantas traseras-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_wheel_left,-0.021483,0.008395,0.010078,0,0,0,0.038543,1.5832E-05,2.5411E-21,8.2586E-21,1.5832E-05,2.872E-21,2.7611E-05,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/back_wheel_left.STL,0.50196,0,0,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/back_wheel_left.STL,,Vehiculo_2_URDF-1/Llanta_completa-2,Origin_joint_back_wheel_left,,joint_back_wheel_left,continuous,-0.24699,0.18714,0.13117,0.019586,-0.010611,1.2416,base_link,0,1,0,100,100,,,,,,0.1,,,,
back_wheel_right,-0.021483,0.008395,0.010078,0,0,0,0.038543,1.5832E-05,0,1.1514E-21,1.5832E-05,-2.8984E-21,2.7611E-05,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/back_wheel_right.STL,0.50196,0,0,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/back_wheel_right.STL,,Vehiculo_2_URDF-1/Llanta_completa-1,Origin_joint_back_wheel_right,,joint_back_wheel_right,continuous,-0.24763,0.18806,-0.0035251,-3.1205,0.0072299,0.41444,base_link,0,1,0,100,100,,,,,0.1,0.1,,,,
front_handle_left,-0.003022,0.0098209,6.2968E-09,0,0,0,0.0035804,2.2725E-07,-8.8041E-08,-2.6452E-13,3.3018E-07,7.2923E-14,3.6051E-07,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_handle_left.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_handle_left.STL,,Vehiculo_2_URDF-1/Eslabon medio LLantas-1,Origin_joint_front_handle_left,,joint_front_handle_left,revolute,-0.0030368,0.16612,0.1163,1.5873,0.014976,0.0079603,base_link,0,0,1,100,100,-0.87267,0.87267,,,0.1,0.1,,,,
front_wheel_left,-0.021483,0.008395,0.010078,0,0,0,0.063174,3.6075E-05,-1.6941E-20,-2.9726E-20,3.6075E-05,-4.2881E-21,6.2912E-05,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_wheel_left.STL,0.50196,0,0,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_wheel_left.STL,,Vehiculo_2_URDF-1/Llanta_completa_grande-2,Origin_joint_front_wheel_left,,joint_front_wheel_left,continuous,-0.0072876,0.0099229,-0.021884,1.5708,0.87681,-3.1416,front_handle_left,0,1,0,100,100,,,,,,0.1,,,,
front_handle_right,-0.0030221,0.0098208,9.0743E-09,0,0,0,0.0035804,2.2725E-07,-8.8041E-08,-2.8912E-13,3.3018E-07,1.2676E-13,3.6051E-07,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_handle_right.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_handle_right.STL,,Vehiculo_2_URDF-1/Eslabon medio LLantas-2,Origin_joint_front_handle_right,,joint_front_handle_right,revolute,-0.0047436,0.16797,0.0033231,-1.5543,0.014976,0.0079603,base_link,0,0,1,100,100,-0.87267,0.87267,,,,0.1,,,,
front_wheel_right,-0.021483,0.008395,0.010078,0,0,0,0.063174,3.6075E-05,-1.8794E-21,9.5539E-23,3.6075E-05,7.4115E-22,6.2912E-05,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_wheel_right.STL,0.50196,0,0,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/front_wheel_right.STL,,Vehiculo_2_URDF-1/Llanta_completa_grande-1,Origin_joint_front_wheel_right,,joint_front_wheel_right,continuous,0.021501,0.0099229,0.0083478,-1.5708,0.0021956,0,front_handle_right,0,1,0,100,100,,,,,,0.1,,,,
link,-1.3878E-17,0.01647,-1.3261E-05,0,0,0,0.064116,1.3212E-05,1.9852E-22,-1.3461E-21,1.3761E-05,-1.2789E-08,1.3258E-05,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/link.STL,0,0,0,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/link.STL,,Base nueva-1/Lidar-1,Origin_joint_link,,joint_link,fixed,-0.13181,0.035044,0.05949,-2.3257,-1.5481,-0.80809,base_link,0,0,0,,,,,,,,,,,,
depth_camera,2.7135E-07,0.00767,-4.8129E-05,0,0,0,0.048199,3.3505E-06,4.2604E-07,-2.2343E-09,2.7389E-05,7.5486E-09,2.665E-05,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/depth_camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/depth_camera.STL,,Base nueva-1/Intel Realsense D435-1,Origin_joint_depth_camera,,joint_depth_camera,fixed,-0.10108,0.055894,0.059402,-2.4044,1.5485,2.3158,base_link,0,0,0,,,,,,,,,,,,
camera_left,1.3517E-07,-0.00025619,0.0067093,0,0,0,0.0050148,3.1349E-07,3.05E-12,-9.2173E-12,3.4979E-07,-3.6215E-11,2.6383E-07,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/camera_left.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://VehiculoConPrototipo/meshes/camera_left.STL,,Base nueva-1/Camera-4,Origin_joint_camera_left,,joint_camera_left,fixed,-0.13803,0.048531,0.087791,-0.016497,-0.014976,-3.1336,base_link,0,0,0,,,,,,,,,,,,
